city,population_2020,state,population_state,GDP_2020(billion USD),urban_area_km2,road_length_km,year,co2,lat,lon
delhi,20739711,DELHI,20697237,325.424054272,1485.1727043813742,27576.8469901396,2023,2742727.136857503,28.6139,77.209
dewas,359067,MADHYA PRADESH,84567635,1.25475392,95.94238526149866,893.5873673068065,2023,30696.33780208864,22.9659,76.0553
dhanbad,1780417,JHARKHAND,39247441,15.0685184,222.559826543596,2204.6759105262563,2023,128000.82575041606,23.7957,86.4304
durgapur,343555,WEST BENGAL,100644486,1.339282944,153.47603694590882,1965.7892455900728,2023,17129.473962447006,23.5204,87.3119
erode,547313,TAMIL NADU,81532082,4.001175552,106.20920196864851,1421.523032040002,2023,81109.93243376013,11.341,77.7172
faridabad,1947869,HARYANA,29257842,48.418643968,194.8684609006148,3509.5712392369824,2023,366117.006927654,28.4089,77.3178
firozabad,797577,UTTAR PRADESH,232192037,2.031214208,34.418353442508,765.9087326534168,2023,55933.71153062062,27.1496,78.3949
gangtok,133226,SIKKIM,664828,1.95593728,19.244517145643105,177.29046193522134,2023,26742.509855479228,27.3389,88.6065
gaya,668150,BIHAR,125238091,1.025866624,49.47417061901927,632.380298690549,2023,22059.41908268031,24.7969,85.0002
ghaziabad,2459267,UTTAR PRADESH,232192037,15.608086528,179.3207504595865,3592.510495220017,2023,178339.4505720222,28.6692,77.4538
guntur,782423,ANDHRA PRADESH,53387780,6.7943296,55.40883688759395,1285.8788711481095,2023,86935.10802380239,16.3067,80.4365
gurgaon,1178886,HARYANA,29257842,24.97335296,207.27824583539285,4774.2677834116685,2023,236151.95458750412,28.4595,77.0266
guwahati,1230661,ASSAM,35170839,10.311525376,176.72634022700956,2860.270254370438,2023,86013.13625105546,26.1445,91.7362
gwalior,1582286,MADHYA PRADESH,84567635,9.632442368,418.6338511265935,3126.602798145585,2023,128576.78147873004,26.2183,78.1828
haldia,382411,WEST BENGAL,100644486,1.653040128,318.0862429842151,1715.3260625777375,2023,17477.083165976703,22.0667,88.0698
hubli dharwad,1119578,KARNATAKA,70511891,13.648089088,210.5558604477294,2999.6730995274024,2023,183415.52384955605,15.3647,75.124
hyderabad,7053177,TELANGANA,38968605,146.145558528,549.8706755202649,13126.238045261862,2023,1036355.0063062466,17.385,78.4867
imphal,258332,MANIPUR,3447069,1.230867712,34.866027596372845,600.2837175253918,2023,21457.579149541605,24.817,93.9368
indore,2995123,MADHYA PRADESH,84567635,30.7926016,279.57012360372863,4880.947458719019,2023,261818.51083914263,22.7196,75.8577
itanagar,110478,ARUNACHAL PRADESH,1697242,0.812397952,51.92411602428195,372.3297674513321,2023,22213.603148437527,27.0844,93.6053
jabalpur,1291012,MADHYA PRADESH,84567635,0.114681584,109.79808761650592,1661.971971985712,2023,105739.50398102976,23.1815,79.9864
jaipur,3596643,RAJASTHAN,80579763,18.50411008,375.9771996007552,7490.250173445595,2023,352468.2677585493,26.9124,75.7873
jalandhar,1199256,PUNJAB,31255959,7.416397824,201.1799628236317,3631.8285721720063,2023,187040.22865228463,31.326,75.5762
jalgaon,713144,MAHARASHTRA,126536129,4.971464192,70.54348196250307,941.2644038949647,2023,87763.96241474609,21.0077,75.5626
jalpaiguri,488734,WEST BENGAL,100644486,1.938399744,13.277971923072498,236.7042317688861,2023,24739.772157589083,26.517,88.7196
